URI	membersInSweden	members	label
http://www.wikidata.org/entity/Q13100073	0	588477	village-level division in China
http://www.wikidata.org/entity/Q79007	3387	582689	street
http://www.wikidata.org/entity/Q486972	3166	571994	human settlement
http://www.wikidata.org/entity/Q8502	1729	525649	mountain
http://www.wikidata.org/entity/Q4022	2898	399090	river
http://www.wikidata.org/entity/Q54050	535	327349	hill
http://www.wikidata.org/entity/Q532	368	273944	village
http://www.wikidata.org/entity/Q41176	3055	270153	building
http://www.wikidata.org/entity/Q23397	58170	261786	lake
http://www.wikidata.org/entity/Q16970	4082	212918	church building
http://www.wikidata.org/entity/Q3947	13	203239	house
http://www.wikidata.org/entity/Q355304	112	175085	watercourse
http://www.wikidata.org/entity/Q23442	4909	148975	island
http://www.wikidata.org/entity/Q56436498	0	145782	village in India
http://www.wikidata.org/entity/Q61443690	0	129183	branch post office
http://www.wikidata.org/entity/Q47521	255	125058	stream
http://www.wikidata.org/entity/Q5084	32	117913	hamlet
http://www.wikidata.org/entity/Q811979	1426	112481	architectural structure
http://www.wikidata.org/entity/Q55488	643	98108	railway station
http://www.wikidata.org/entity/Q39816	44	97054	valley
http://www.wikidata.org/entity/Q985488	0	90798	residential community of the People's Republic of China
http://www.wikidata.org/entity/Q22698	320	87159	park
http://www.wikidata.org/entity/Q473972	11143	84030	protected area
http://www.wikidata.org/entity/Q2225692	0	83135	fourth-level administrative division in Indonesia
http://www.wikidata.org/entity/Q12323	10	74541	dam
http://www.wikidata.org/entity/Q124714	32	69762	spring
http://www.wikidata.org/entity/Q34442	1785	68356	road
http://www.wikidata.org/entity/Q55659167	3	66371	natural watercourse
http://www.wikidata.org/entity/Q2151232	0	60790	townland
http://www.wikidata.org/entity/Q2341654	60454	60654	stone setting
http://www.wikidata.org/entity/Q3558970	0	56098	village of Poland
http://www.wikidata.org/entity/Q41253	935	55834	movie theater
http://www.wikidata.org/entity/Q108325	51	53505	chapel
http://www.wikidata.org/entity/Q187971	0	51979	wadi
http://www.wikidata.org/entity/Q860861	410	48805	sculpture
http://www.wikidata.org/entity/Q22969563	0	48714	bodendenkmal
http://www.wikidata.org/entity/Q12284	55	47594	canal
http://www.wikidata.org/entity/Q179700	45	47138	statue
http://www.wikidata.org/entity/Q839954	36	46992	archaeological site
http://www.wikidata.org/entity/Q39614	992	46581	cemetery
http://www.wikidata.org/entity/Q820477	37	45160	mine
http://www.wikidata.org/entity/Q34023	13470	44740	tumulus
http://www.wikidata.org/entity/Q253019	0	41250	Ortsteil
http://www.wikidata.org/entity/Q33506	435	41144	museum
http://www.wikidata.org/entity/Q26211545	0	41085	desa
http://www.wikidata.org/entity/Q484170	0	40698	commune of France
http://www.wikidata.org/entity/Q489357	4	40687	farmhouse
http://www.wikidata.org/entity/Q28564	1142	40665	public library
http://www.wikidata.org/entity/Q3257686	17	38966	locality
